TAG NAME,TAG TYPE,PIXEL ID
fp - evn - add to shoppinglist MH - global - end 2608,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fp - evn - find store MH - global - end 2608,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fp - evn - newsletter subscription MH - global - end 2608,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fc - pv - colour testers landingpage MH - be - end 2501,flc,11532207
fp - evn - add to wishlist MH - global - end 2502,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fc - vpv - product overview & page MH - uk - end 2502,flc,11547634
ac - ce - dulux promise timer - hk - end 2501,awct,11046166668
fp - pgv - all pages - lv - end 2502,cvt_31470972_1292,632339417246736
fc - vpv - easycare page MH - uk - end 2503,flc,11547634
fc - vpv - simply-refresh page MH - uk - end 2503,flc,11547634
"hj - pgv - heatmap test - uk, nl, br, in, es, za - no end",hjtc,Unknown
fp - pgv - product pages MH - fr - end 2605,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fp - pgv - checkout pages MH - fr - end 2605,cvt_31470972_1292,{{cst - fb ID MediaHub - global}}
fc - pgv - checkout pages MH - fr - end 2605,flc,11626093
fc - ev - store finder MH - fr - end 2605,flc,11626093
fc - ev - newsletter subscription MH - fr - end 2605,flc,11626093
fc - pv - product pages MH - fr - end 2605,flc,11626093
fc - ev - add to cart MH - se - end 2605,flc,11618271
fc - ev - add to wishlist MH - se - end 2605,flc,11618271
fc - pv - all pages MH - se - end 2605,flc,11618271
fc - pv - colour detail pages MH - se - end 2605,flc,11618271
fc - pv - contact page MH - se - end 2605,flc,11618271
fc - ev - find store MH - se - end 2605,flc,11618271
fc - pv - product pages MH - se - end 2605,flc,11618271
fc - ev - purchase confirmation MH - se - end 2505,fls,Unknown
ac - pv - leadform submission - id - end 2606,awct,11065962836
ac - pv - leadform submission - pk - end 2606,awct,11065899403
ac - pv - leadform submission - vn - end 2606,awct,11071881009
fc - pgv - all pages - in - end 2607,flc,12620584
fc - pgv - all pages - vn - end 2607,flc,12620584
fc - pgv - all pages - id - end 2607,flc,12620584
fc - pgv - all pages - my - end 2607,flc,12620584
fc - pgv - all pages - sg - end 2607,flc,12620584
fc - pgv - all pages - th - end 2607,flc,12620584
fc - pgv - all pages - pk - end 2607,flc,12620584
fc - pgv - all pages - lk - end 2607,flc,12620584
fp - pgv - all pages - lt - end 2608,cvt_31470972_1292,320672718469481
ar - pgv - pgv cf24 - pl - 2410,sp,JhyGCJPRkN0YELHo4eoD
fl - ev - cf24 mobile download iOS - pl - 2410,flc,{{cst - fc ID - PL}}
fl - ev - cf24 mobile download Android - pl - 2410,flc,{{cst - fc ID - PL}}
fl - pgv - pgv cf24 - pl - 2410,flc,{{cst - fc ID - PL}}
fc - ev - start newsletter cf24 - pl - 2410,flc,{{cst - fc ID - PL}}
qa - pgv - thank you page - in - end 251024,qpx,Unknown
